s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 8.2941723E+000, 5.1036963E+007,-9.7861620E+006, 6.5314425E+005,-4.2137043E+004, 4.5305073E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3847360E+007, 4.1862261E+007, 4.5000163E+003, 4.5000163E+003
 8.3113813E+000, 5.1363553E+007,-1.0061260E+007, 6.5436562E+005,-4.2618157E+004, 4.4122765E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1604079E+007, 4.1914482E+007, 4.5000163E+003, 4.5000163E+003
 8.3285904E+000, 5.1706567E+007,-7.3827646E+006, 6.9608030E+005,-4.2705768E+004, 4.4830495E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1641675E+007, 4.4977625E+007, 4.5000163E+003, 4.5000163E+003
 8.3458004E+000, 5.2263838E+007,-1.0175461E+007, 6.6771480E+005,-4.2553088E+004, 4.5599486E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4680130E+007, 4.2713994E+007, 4.5000164E+003, 4.5000164E+003
 8.3630095E+000, 5.2671875E+007,-1.0035135E+007, 6.7590127E+005,-4.3037106E+004, 4.4419777E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2452229E+007, 4.3270048E+007, 4.5000164E+003, 4.5000164E+003
 8.3802185E+000, 5.3333601E+007,-8.6296002E+006, 7.0484264E+005,-4.3000858E+004, 4.5746197E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2991516E+007, 4.5366300E+007, 4.5000164E+003, 4.5000164E+003
 8.3974285E+000, 5.3789892E+007,-9.3445115E+006, 7.0286786E+005,-4.3080016E+004, 4.5198878E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5069343E+007, 4.5105620E+007, 4.5000164E+003, 4.5000164E+003
 8.4146376E+000, 5.4506442E+007,-1.1732045E+007, 6.8150578E+005,-4.3220062E+004, 4.5373168E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4825331E+007, 4.3413136E+007, 4.5000164E+003, 4.5000164E+003
 8.4295092E+000, 5.5292563E+007,-9.0525374E+006, 7.2888042E+005,-4.3543443E+004, 4.5266301E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3144898E+007, 4.6925815E+007, 4.5000164E+003, 4.5000164E+003
 8.4443817E+000, 5.5500340E+007,-8.7340869E+006, 7.3736483E+005,-4.3402314E+004, 4.5537605E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6623242E+007, 4.7460671E+007, 4.5000164E+003, 4.5000164E+003
 8.4592533E+000, 5.5934049E+007,-1.1131996E+007, 7.1205207E+005,-4.3344514E+004, 4.6386096E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7164633E+007, 4.5471224E+007, 4.5000165E+003, 4.5000165E+003
 8.4741249E+000, 5.6407251E+007,-8.8603250E+006, 7.5010920E+005,-4.3747247E+004, 4.5735674E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5189865E+007, 4.8253746E+007, 4.5000165E+003, 4.5000165E+003
 8.4889975E+000, 5.6724113E+007,-1.0304597E+007, 7.3535542E+005,-4.3612012E+004, 4.6605473E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7952691E+007, 4.7111725E+007, 4.5000165E+003, 4.5000165E+003
 8.5038691E+000, 5.6909378E+007,-1.0579276E+007, 7.3498463E+005,-4.3931186E+004, 4.5309685E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6822977E+007, 4.7021609E+007, 4.5000165E+003, 4.5000165E+003
 8.5187407E+000, 5.7328325E+007,-9.4122647E+006, 7.5607526E+005,-4.3838753E+004, 4.7421185E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6733291E+007, 4.8628771E+007, 4.5000165E+003, 4.5000165E+003
 8.5336132E+000, 5.7404864E+007,-9.0559656E+006, 7.6267864E+005,-4.4039970E+004, 4.5788578E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8318731E+007, 4.9067994E+007, 4.5000165E+003, 4.5000165E+003
 8.5467863E+000, 5.7849453E+007,-1.1536271E+007, 7.3514311E+005,-4.3932401E+004, 4.7252160E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8772994E+007, 4.7004866E+007, 4.5000165E+003, 4.5000165E+003
